Gardiner Code,Description
U26,
U27,
U28,fire-drill
U29,
U29A,
U30,kiln
U31,
U32,
U32A,
U33,'pestle'-(curved top)
U34,
U35,
U36,fuller's-club
U37,
U38,scale
U39,
U40,a support-(to lift)
U41,plummet
U42,pitchfork
V,
V1,
V1A,
V1B,
V1C,
V1D,
V1E,
V1F,
V1G,
V1H,
V1I,
V2,
V2A,
V3,
V4,lasso
V5,
V6,rope-(shape)
V7,rope-(shape)
V7A,
V7B,
V8,
V9,shenring
V10,cartouche
V11,cartouche-(divided)
V11A,
V11B,
V11C,
V12,
V12A,
V12B,
V13,tethering rope
V14,
V15,tethering rope w/ walking legs
V16,cattlehobble(bil.)
V17,lifesaver
V18,
V19,
V20,"""cattle hobble"""
V20A,
V20B,
V20C,
V20D,
V20E,
V20F,
V20G,
V20H,
V20I,
V20J,
V20K,
V20L,
V21,Fetter + Cobra
V22,whip
V23,
V23A,
V24,
V25,"""command staff"""
V26,
V27,
V28,a twisted wick
V28A,
V29,(fiber)swab(straw broom)
V29A,
V30,basket(hieroglyph)
V30A,
V31,basket-with-handle(hieroglyph)
V31A,
V32,
V33,
V33A,
V34,
V35,
V36,doubled container(or-added-glyphs)many spellings
,
,
V37,
V37A,
V38,
V39,?stylized ankh(for Isis)(?)
V40,
V40A,
W,
W1,Oil jar
W2,Oil-jar without ties
W3,alabasterbasin
W3A,alabasterbasin
W4,"festival chamber, (the tail is also vertical 'Great': ꜥꜣ)"
W5,
W6,Metal vessel
W7,Granite Bowl
W8,Granite Bowl
W9,stone jug
W9A,
W10,cup
W10A,Pot
W11,Jar stand
W12,Jar stand
W13,pot
W14,water jar
W14A,water jar with water
W15,water jar with rack
W16,water jar with rack
W17,water jar with rack
W17A,
W18,water jar with rack
W18A,
W19,Milk jug with handle
W20,Milk jug with cover
W21,Wine jars
W22,Beer jug
W23,Beer jug
W24,Pot
W24A,three pots
W25,Pot with legs
X,
X1,loaf of bread
X2,
X3,
X4,
X4A,
X4B,
X5,
X6,loaf-with-decoration
,
,(or)
X6A,
X7,
X8,cone-shapedbread
X8A,
Y,
Y1,papyrusroll
Y1A,
Y2,
Y3,Scribe's equipment
Y4,Scribe's equipment
Y5,Senet board
Y6,game piece
Y7,harp
Y8,Sistrum
Z,
Z1,Single stroke
Z2,Plural stroke (horizontal)
Z2A,
Z2B,
Z2C,
Z2D,
Z3,plural strokes (vertical)
Z3A,
Z3B,
Z4,Dual stroke
Z4A,
Z5,Diagonal stroke (from hieratic)
Z5A,
Z6,Substitute for various human figures
Z7,coil(hieratic equivalent)
Z8,Oval
Z9,Crossed diagonal sticks
Z10,Crossed diagonal sticks
Z11,two planks crossed and joined
Z12,
Z13,
Z14,
Z15,
Z15A,
Z15B,
Z15C,
Z15D,
Z15E,
Z15F,
Z15G,
Z15H,
Z15I,
Z16,
Z16A,
Z16B,
Z16C,
Z16D,
Z16E,
Z16F,
Z16G,
Z16H,
Aa,
Aa1,Placenta or sieve
Aa2,Pustule
Aa3,Pustule with liquid issuing from it
Aa4,
Aa5,Part of steering gear of a ship
Aa6,
Aa7,A Smiting-Blade
Aa7A,
Aa7B,
Aa8,Irrigation tunnels
Aa9,
Aa10,
Aa11,
Aa12,
Aa13,
Aa14,
Aa15,Two ribs of an oryx
Aa16,
Aa17,
Aa18,
Aa19,
Aa20,
Aa21,
Aa22,
Aa23,
Aa24,
Aa25,
Aa26,
Aa27,
Aa28,
Aa29,
Aa30,
Aa31,
Aa32,
